version,iter,trend_y_true,trend_y_truesecond,trend_y_hat,trend_yera_hat
CanESM5-CanOE,49,2.521698,2.4797974,2.112915,1.9480591
CanESM5-CanOE,50,6.751251,6.691284,5.1141663,4.8177185
EC-Earth3,1,4.705841,5.3856506,4.358734,4.2002563
EC-Earth3,2,2.4174805,2.3463135,1.5949707,1.7425232
EC-Earth3,3,2.1281433,2.2377625,1.6943665,1.564209
EC-Earth3,4,1.4972229,1.5654602,0.96188354,1.327179
EC-Earth3,5,5.3805237,4.700714,4.513916,4.29126
EC-Earth3,6,1.4849548,1.5498047,1.7288818,1.3420105
EC-Earth3,7,3.4857483,4.414459,3.4484558,3.4689026
EC-Earth3,8,3.8477173,4.35968,3.5694275,3.368744
EC-Earth3,9,4.425659,4.3992004,3.4669495,3.3432312
EC-Earth3,10,5.277588,5.1240845,4.4704895,4.31308
EC-Earth3,11,5.245514,5.372925,4.098877,4.2010193
EC-Earth3,12,5.375,5.2582397,4.8848877,4.183655
EC-Earth3,13,1.5149231,1.7634888,1.7073059,1.8021545
EC-Earth3,14,1.789154,1.0075073,1.1712341,1.3640442
EC-Earth3,15,4.740326,4.773712,4.3988037,4.2867126
EC-Earth3,16,1.7277222,1.0323486,1.6252441,1.3110046
EC-Earth3,17,4.5148315,5.1601562,4.334503,4.1403503
EC-Earth3,18,2.1686096,2.2948303,1.6654053,1.9875183
EC-Earth3,19,1.2090454,1.2953186,1.5554199,1.2470093
EC-Earth3,20,2.5071106,1.8626404,1.8938904,1.6051636
EC-Earth3,21,2.7593994,2.7671204,1.8178711,1.7877197
EC-Earth3,22,1.302063,1.5214233,1.0560608,1.2990112
EC-Earth3,23,4.7733765,4.205536,3.1895447,3.562317
EC-Earth3,24,1.3691406,0.80685425,1.1286621,1.4338379
EC-Earth3,25,4.306946,3.723938,3.5083008,3.4148865
EC-Earth3,26,3.5644531,4.147461,3.6420898,3.608429
EC-Earth3,27,1.4631348,1.5962219,0.98791504,1.3432007
EC-Earth3,28,4.025421,4.021179,3.489746,3.6075745
EC-Earth3,29,1.876648,1.6572876,0.9546509,1.4515686
EC-Earth3,30,2.1090088,2.068634,1.6092224,1.7946472
EC-Earth3,31,1.0116272,1.6731567,1.4599609,1.2265015
EC-Earth3,32,5.11145,5.189972,4.2355347,4.3506165
EC-Earth3,33,3.5551453,4.067108,3.4240723,3.4586792
EC-Earth3,34,2.3463135,2.2723694,1.730835,1.7040405
EC-Earth3,35,4.829071,4.233917,3.694397,3.5706787
EC-Earth3,36,5.4631042,5.5865784,4.3054504,4.255707
EC-Earth3,37,4.637665,4.6178894,3.9481812,3.405182
EC-Earth3,38,2.3879395,2.3978577,2.0393677,1.6806335
EC-Earth3,39,1.6672058,1.5809326,1.1748657,1.3217468
