aggregation,baseline_end,baseline_start,effective_block_trials,estimate,events,factual_probability,forcing,lower,members,natural_probability,one_sided,one_sided_point_ratio_bound,opportunities,pet_method,record_type,rsds_treatment,source,threshold,upper,window_end,window_start,years_per_member
gridcell-spei-area-mean,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,penman-monteith,probability,adjusted,GCMagicc,-1.8381701072586882,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,inf,,0.018,factual/natural,0.2710665318060425,100,0.0,True,0.6098996965635956,,penman-monteith,probability_ratio,adjusted,GCMagicc,-1.8381701072586882,inf,2025,2021,5
gridcell-spei-area-mean,2010,1991,400,0.102,204,,factual,0.0775,100,,False,,2000,penman-monteith,probability,adjusted,GCMagicc,-1.8381701072586882,0.1275,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,0.0,0,,natural,0.0,100,,True,,2000,penman-monteith,probability,adjusted,GCMagicc,-1.8381701072586882,0.0074613555287995625,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,inf,,0.102,factual/natural,10.85593625546374,100,0.0,True,13.670438247621005,,penman-monteith,probability_ratio,adjusted,GCMagicc,-1.8381701072586882,inf,2060,2041,20
regional-water-balance-spei,2010,1991,100,0.078,39,,factual,0.052,100,,False,,500,penman-monteith,probability,adjusted,GCMagicc,-1.9174238443374634,0.106,2025,2021,5
regional-water-balance-spei,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,penman-monteith,probability,adjusted,GCMagicc,-1.9174238443374634,0.029513049607039932,2025,2021,5
regional-water-balance-spei,2010,1991,100,inf,,0.078,factual/natural,1.8974657226422975,100,0.0,True,2.6428986851089142,,penman-monteith,probability_ratio,adjusted,GCMagicc,-1.9174238443374634,inf,2025,2021,5
regional-water-balance-spei,2010,1991,400,0.211,422,,factual,0.1749875,100,,False,,2000,penman-monteith,probability,adjusted,GCMagicc,-1.9174238443374634,0.2470124999999998,2060,2041,20
regional-water-balance-spei,2010,1991,400,0.0005,1,,natural,0.0,100,,False,,2000,penman-monteith,probability,adjusted,GCMagicc,-1.9174238443374634,0.002,2060,2041,20
