driving_model,scenario,is_test,file_glob,source,members_used
UKESM1-0-LL,historical,False,data_DAT_UKESM1-0-LL_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
ACCESS-CM2,ssp119,False,data_DAT_ACCESS-CM2_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
ACCESS-ESM1-5,ssp119,False,data_DAT_ACCESS-ESM1-5_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5,ssp119,False,data_DAT_CanESM5_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5-1,ssp119,False,data_DAT_CanESM5-1_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5-CanOE,ssp119,False,data_DAT_CanESM5-CanOE_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CESM2,ssp119,False,data_DAT_CESM2_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CESM2-WACCM,ssp119,False,data_DAT_CESM2-WACCM_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3,ssp119,False,data_DAT_EC-Earth3_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3-CC,ssp119,False,data_DAT_EC-Earth3-CC_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3-Veg,ssp119,False,data_DAT_EC-Earth3-Veg_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3-Veg-LR,ssp119,False,data_DAT_EC-Earth3-Veg-LR_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
FGOALS-g3,ssp119,False,data_DAT_FGOALS-g3_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GFDL-CM4,ssp119,False,data_DAT_GFDL-CM4_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GFDL-ESM4,ssp119,False,data_DAT_GFDL-ESM4_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GISS-E2-1-G,ssp119,False,data_DAT_GISS-E2-1-G_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GISS-E2-1-H,ssp119,False,data_DAT_GISS-E2-1-H_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GISS-E2-2-G,ssp119,False,data_DAT_GISS-E2-2-G_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
HadGEM3-GC31-LL,ssp119,False,data_DAT_HadGEM3-GC31-LL_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
HadGEM3-GC31-MM,ssp119,False,data_DAT_HadGEM3-GC31-MM_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
INM-CM4-8,ssp119,False,data_DAT_INM-CM4-8_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
INM-CM5-0,ssp119,False,data_DAT_INM-CM5-0_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
IPSL-CM6A-LR,ssp119,False,data_DAT_IPSL-CM6A-LR_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
MIROC-ES2L,ssp119,False,data_DAT_MIROC-ES2L_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
MIROC6,ssp119,False,data_DAT_MIROC6_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
